2021-06-26 00:45:57.049 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
2021-06-26 00:59:38.325 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
2021-06-26 12:05:52.581 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
2021-06-26 12:08:00.051 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
2021-06-26 12:11:55.589 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
2021-06-26 12:32:12.862 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
2021-06-26 12:39:45.792 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
2021-06-26 12:46:36.013 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
2021-06-26 13:50:19.781 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
2021-06-26 14:01:39.757 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
2021-06-26 14:06:14.185 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
2021-06-26 14:07:24.405 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
2021-06-26 14:29:47.933 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
2021-06-26 14:54:59.419 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
2021-06-26 15:42:49.826 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
2021-06-26 15:45:53.123 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
2021-06-26 15:47:42.295 [main] ERROR com.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.sunjunjie.eduservice.mapper.EduCourseMapper.getPublishCourseInfo] is ignored, because it exists, maybe from xml file
